country,year,sex,age_group,suicides,pop_age_group,suicides_rate,HDI for year, gdp_for_year,gdp_per_capita,unemployment_rate,terciary_rate
Finland,2013,male,25-54,325,1064217,30.53888446,0.882,2.6998E+11,52572,6.9,90.99419
Finland,2014,female,15-24,22,318826,6.9,0.883,2.72609E+11,52832,18,88.88166
Finland,2014,male,15-24,63,332717,18.94,0.883,2.72609E+11,52832,20.6,88.88166
Finland,2014,female,25-54,97,1024415,9.468818789,0.883,2.72609E+11,52832,6.5,88.88166
Finland,2014,male,25-54,317,1065006,29.76509053,0.883,2.72609E+11,52832,7.6,88.88166
Finland,2015,female,15-24,12,317937,3.77,,2.32465E+11,44862,19.6,87.67987
Finland,2015,male,15-24,59,332082,17.77,,2.32465E+11,44862,22.5,87.67987
Finland,2015,female,25-54,85,1020117,8.332377561,,2.32465E+11,44862,7.5,87.67987
Finland,2015,male,25-54,282,1061554,26.56482854,,2.32465E+11,44862,7.9,87.67987
France,2000,female,15-24,137,3764091,3.64,0.848,1.36225E+12,24648,23.7,50.60308
France,2000,male,15-24,471,3885375,12.12,0.848,1.36225E+12,24648,18.4,50.60308
France,2000,female,25-54,1418,12689621,11.17448661,0.848,1.36225E+12,24648,11.1,50.60308
France,2000,male,25-54,4323,12531850,34.49610393,0.848,1.36225E+12,24648,7.5,50.60308
France,2005,female,15-24,128,3877610,3.3,0.867,2.19613E+12,38420,21.3,53.88233
France,2005,male,15-24,439,3992606,11,0.867,2.19613E+12,38420,19.5,53.88233
France,2005,female,25-54,1399,12676480,11.0361867,0.867,2.19613E+12,38420,8.4,53.88233
France,2005,male,25-54,4139,12476250,33.17503256,0.867,2.19613E+12,38420,6.6,53.88233
France,2010,female,15-24,117,3823806,3.06,0.881,2.64261E+12,44747,23,54.88172
France,2010,male,15-24,385,3937209,9.78,0.881,2.64261E+12,44747,22.2,54.88172
France,2010,female,25-54,1251,12643516,9.894399627,0.881,2.64261E+12,44747,7.9,54.88172
France,2010,male,25-54,3923,12347521,31.77155965,0.881,2.64261E+12,44747,7.3,54.88172
France,2011,female,15-24,124,3794959,3.27,0.884,2.86141E+12,48217,22.6,55.62573
France,2011,male,15-24,367,3914976,9.37,0.884,2.86141E+12,48217,21.4,55.62573
France,2011,female,25-54,1182,12625782,9.361796362,0.884,2.86141E+12,48217,8.1,55.62573
France,2011,male,25-54,3929,12336569,31.84840129,0.884,2.86141E+12,48217,7.3,55.62573
France,2012,female,15-24,106,3776265,2.81,0.886,2.68383E+12,45002,23.1,57.90901
France,2012,male,15-24,359,3900107,9.2,0.886,2.68383E+12,45002,24.1,57.90901
France,2012,female,25-54,1074,12603897,8.521174046,0.886,2.68383E+12,45002,8.4,57.90901
France,2012,male,25-54,3591,12322385,29.14208572,0.886,2.68383E+12,45002,8.1,57.90901
France,2013,female,15-24,116,3728182,3.11,0.887,2.81108E+12,46922,24.4,59.84876
France,2013,male,15-24,310,3849077,8.05,0.887,2.81108E+12,46922,23.8,59.84876
France,2013,female,25-54,1006,12604991,7.980965635,0.887,2.81108E+12,46922,8.7,59.84876
France,2013,male,25-54,3552,12318240,28.83528816,0.887,2.81108E+12,46922,8.8,59.84876
France,2014,female,15-24,92,3711936,2.48,0.888,2.85217E+12,47318,22.2,61.51048
France,2014,male,15-24,282,3841223,7.34,0.888,2.85217E+12,47318,24.5,61.51048
France,2014,female,25-54,948,12594022,7.527380848,0.888,2.85217E+12,47318,8.8,61.51048
France,2014,male,25-54,3216,12303359,26.13920312,0.888,2.85217E+12,47318,8.9,61.51048
Germany,2013,female,15-24,111,4259808,2.61,0.915,3.75251E+12,48563,7.1,61.38684
Germany,2013,male,15-24,391,4474441,8.74,0.915,3.75251E+12,48563,8.5,61.38684
Germany,2013,female,25-54,996,16764603,5.941089091,0.915,3.75251E+12,48563,4.6,61.38684
Germany,2013,male,25-54,3162,17109839,18.4805947,0.915,3.75251E+12,48563,5.1,61.38684
Germany,2014,female,15-24,121,4215773,2.87,0.916,3.89061E+12,50167,7.1,65.50391
Germany,2014,male,15-24,397,4452615,8.92,0.916,3.89061E+12,50167,8.4,65.50391
Germany,2014,female,25-54,983,16733686,5.874378185,0.916,3.89061E+12,50167,4.4,65.50391
Germany,2014,male,25-54,3194,17129217,18.64650322,0.916,3.89061E+12,50167,5,65.50391
Germany,2015,female,15-24,136,4195185,3.24,,3.37561E+12,43201,6.5,67.74687
Germany,2015,male,15-24,376,4520300,8.32,,3.37561E+12,43201,7.9,67.74687
Germany,2015,female,25-54,993,16677913,5.953982372,,3.37561E+12,43201,4,67.74687
Germany,2015,male,25-54,2988,17191463,17.38071972,,3.37561E+12,43201,4.7,67.74687
